artist_id,artist_latitude,artist_location,artist_longitude,artist_name,duration,num_songs,song_id,title,year,_merge,process,corrected_location,county,city,state,country,country_code
ARPPJJO1187B99D171,25.03512000000001,,121.5152,Michael Stearns,427,1,SOEBWIE12A8C14380F,Sacred Site Soundtrack,1993,,Y,nan,nan,nan,Taipei,TW,tw
ARBZIN01187FB362CC,1.32026,,103.78871,Paris Hilton,192,1,SOERIDA12A6D4F8506,I Want You (Album Version),2006,,Y,nan,Northwest,nan,nan,Singapore,sg
ARZLVVQ11F4C8421BA,39.49974,,-111.54732,T.O.K,188,1,SOTQSHS12A8AE46A4A,Money Maker,0,,Y,nan,Sanpete County,nan,Utah,USA,us
ARAQMES1187FB4D46A,28.643340000000002,,-81.23258,Benzino / The Outlawz,228,1,SOHJBCO12AB01889CD,Feel Your Pain,0,,Y,nan,Seminole County,nan,Florida,USA,us
AR4T2IF1187B9ADBB7,63.960269999999994,,10.22442,Billy Idol,287,1,SOVYXYL12AF72A3373,Rebel Yell (1999 Digital Remaster),1983,,Y,nan,Trøndelag,nan,nan,Norway,no
AR4T2IF1187B9ADBB7,63.960269999999994,,10.22442,Billy Idol,247,1,SOLQYSZ12AB0181F97,Mony Mony (Live),1987,,Y,nan,Trøndelag,nan,nan,Norway,no
AR4T2IF1187B9ADBB7,63.960269999999994,,10.22442,Billy Idol,443,1,SOIEXLS12A6D4F792F,Shangrila,1993,,Y,nan,Trøndelag,nan,nan,Norway,no
ARZPWMP12086C175D6,31.1689,,-100.07715,Jannes,184,1,SORUGLY12AB0187CC5,Laat Me Alleen,0,,Y,nan,Concho County,nan,Texas,USA,us
AR4T2IF1187B9ADBB7,63.960269999999994,,10.22442,Billy Idol,237,1,SOETDBF12A81C20BC0,Body Snatcher,2005,,Y,nan,Trøndelag,nan,nan,Norway,no
ARQF61A1187FB4A61F,59.33217,,18.06243,Eric Prydz,360,1,SOYZIFC12AB0186300,Pjanoo (High Contrast Remix),2008,,Y,nan,Stockholm,Stockholm,Stockholm County,Sweden,se
ARBZIN01187FB362CC,1.32026,,103.78871,Paris Hilton,274,1,SOYEDMV12A58A7AF6D,Do Ya Think I'm Sexy (Album Version),2006,,Y,nan,Northwest,nan,nan,Singapore,sg
AR0JBXL1187FB52810,19.40904,,-99.14976999999999,St. Vincent,307,1,SORMAXQ12A8C139224,Landmines,2007,,Y,nan,Cuauhtémoc,Mexico City,Mexico City,Mexico,mx
ARFH6FT1187FB5BF47,39.49974,,-111.54732,T.O.K.,225,1,SOFLPJR12A8C134166,Saturday,2001,,Y,nan,Sanpete County,nan,Utah,USA,us
