artist_id,artist_latitude,artist_location,artist_longitude,artist_name,duration,num_songs,song_id,title,year,city,state,country
ARX2R5A1187FB5B85B,33.7483627,,-84.3909447,Ann Nesby,243,1,SOUEARP12A58A7D643,Tables Turn,0,Atlanta,Georgia,USA
AR6TW8G119B8668BA1,54.5029553269817,,-6.76661609141537,The Japanese Popstars,235,1,SODJQMR12A6D4FD321,Sample Whore,2008,,Northern Ireland,United Kingdom
ARJPLNG1187B98C4FB,51.6906317,,-0.0337596,Russ Ballard,279,1,SODGBON12A6D4F5F19,Your Time Is Gonna Come,1993,,England,United Kingdom
ARE36MM1187B991E50,31.1697027906955,,-100.077144457897,Blind Lemon Jefferson,185,1,SOITIZR12A8C13BA50,Wartime Blues,1927,,Texas,USA
ARNPPTH1187B9AD429,51.4850985,,-0.372050030058762,Jimmy Page,322,1,SODCZXW12A6D4F97F5,Hummingbird,1988,London,England,United Kingdom
ARC3KY01187B9AEB09,31.1697027906955,,-100.077144457897,2002,273,1,SOFPEQJ12AB0180667,Lovers' Bridge,2000,,Texas,USA
ARBNL6D1187B9A147E,49.26013155,,-123.114082148851,The Black Halos,279,1,SOELSDM12A8C13CB4E,Broken,0,Vancouver,British Columbia,Canada
AR0VKIO1187FB487CE,34.194435,,-90.565075,John Lee Hooker,167,1,SONXTJP12A6D4F9612,Harry's Philosophy,0,,Mississippi,USA
ARAI3JW1187FB52DE1,45.5122855,,-73.5538249,Faraoni,219,1,SONGDBD12A8C1418FE,Skrivnost,0,Montreal,Quebec,Canada
ARD0FN11187B9B25CD,40.8570771871629,,-73.8567776091307,Bobby Darin,124,1,SOGRPFI12A8C1349A6,Intro. & Hello Young Lovers (Live) (2000 Digital Remaster),0,New York,New York,USA
ARABEE51187FB572FE,43.9959476,,-71.6327018,Pastor Troy,266,1,SOTXTDL12AF729DD9B,Vica Versa,2002,,New Hampshire,USA
ARTC1LV1187B9A4858,51.45394125,,-0.0173821362492985,The Bonzo Dog Band,301,1,SOAFBCP12A8C13CC7D,King Of Scurf (2007 Digital Remaster),1972,London,England,United Kingdom
ARV3PXE1187B98E680,40.7146471,,-74.0070783,John Brown's Body,289,1,SOQAUGD12A58A7A92D,The Gold (Dubmatix Runnin' Remix) [Bonus Track],2008,New York,New York,United States of America
