artist_id,artist_latitude,artist_location,artist_longitude,artist_name,duration,num_songs,song_id,title,year,_merge
ARM2L4M1187B9B5F51,,,,FreQ Nasty,205,1,SOFYPCI12A6701FF60,Fresh,2002,left_only
AR1U3BY1187B9B136F,,,,God Lives Underwater,215,1,SOPWHEV12AB017DC10,Don't Know How To Be,1995,left_only
AR1ILHX1187FB53892,,,,Magtens Korridorer,266,1,SOUPGMR12AB01820DD,Døden Nær,2005,left_only
AR4K1XY1187B99479D,,,,General Degree,213,1,SOETCUF12AB0182C10,Last Night,0,left_only
AR1GZB111C8A421C7A,,,,Andre Crom,400,1,SOYXOEY12AB0180988,Warp,0,left_only
AROLMXS1241B9C6915,,,,An Cafe,276,1,SORWVEZ12A8C13C031,ONE WAY LOVE,0,left_only
AR35KDG1187FB5704D,,,,Steve Cole,201,1,SOUJVSA12A6D4F7FE8,The Real Me,0,left_only
ARVELC31187B9A5F82,,,,James Kakande,352,1,SOFSOBI12A8C13E1BE,You You You,2005,left_only
AR14KH21187B98AEBB,,,,Kleerup,238,1,SOYRDNL12AB017F99D,Misery,2009,left_only
ARAXU5Z1187B98FECD,,,,Gorillaz,249,1,SOKHYFG12A63110822,Rock The House (Explicit),2001,left_only
ARWKJGM1187FB4D6D7,,,,Bailter Space,235,1,SOFJNIJ12AB0185F59,"The W"" Song",0,left_only
AR0GBPP1187B9AF4A1,,,,Cut Chemist,292,1,SOSKLUQ12A6D4F7D42,A Peak In Time (Album Version),2006,left_only
ARXFCRZ1187B9B6BE0,,,,La Mosca Tse-Tse,299,1,SOXDAWZ12A8C13878C,Silbando Bajito,0,left_only
ARIE56D1187B9920B8,,,,Kleenex Girl Wonder,59,1,SODGFCO12AB017E96B,Mayflower Looks at Asia,1999,left_only
AR5ICZZ1187B99A1F4,,,,Kev Brown_ Critically Acclaimed,263,1,SOXOJVQ12A8C1425B8,Wallflower,2003,left_only
ARANL4M1187FB3E87C,,,,Daisy Chainsaw,148,1,SOMMNUY12A8C141B06,Greatest God's Divine,1994,left_only
ARXTHZO1187B9A5724,,,,Duoteque,611,1,SOOLUWB12A8C1398C4,Adyra,2006,left_only
ARAJOER1187FB5BAF1,,,,Dog Fashion Disco,154,1,SOICRKO12AAF3B32F4,Hank Steel The Real Queer Cowboy,2008,left_only
ARLCKQI1187FB4C111,,,,D'espairsRay,238,1,SOKWQNA12A58A7909E,Masquerade,2009,left_only
ARS8X3W1187FB39D09,,,,Vital Remains,313,1,SOSBIZB12A58A7AEBF,Isolated Magick,1992,left_only
AR0KIXX1187B98AFCB,,,,Homelife,387,1,SOJRTOI12A8C13A8C9,Seedpod,2002,left_only
ARPMGJM1187FB43CC2,,,,Hell Is For Heroes,235,1,SOERFXP12A8C1394C1,Kamichi,2004,left_only
ARIBQJ21187FB48B54,,,,Alban Berg Quartett,240,1,SOCYVUU12A6D4FD192,String Quartet No. 1 'after Tolstoy's 'The Kreutzer Sonata' ': I.       Adagio - Con moto,0,left_only
AR12EOE1187FB3AE26,,,,The Pineapple Thief,399,1,SOQSPFC12AB018C494,Run A Mile,2006,left_only
AROXZL91187FB40560,,,,Klezmer Conservatory Band,213,1,SOTGZBX12AB017C973,Yidl Mitn Fidl,1984,left_only
ARWKO2O1187B9B5FA7,,,,Tree63,248,1,SOGHJJP12A6D4F909F,Here Of All Places (The Life And Times Of Absolute Truth Album Version),2002,left_only
ARHQS6Y1187FB468A3,,,,Panteón Rococó feat. Andrés Jimenez (A.N.I.M.A.L.),190,1,SOYPXIL12A6D4FB97F,Freedomland (para Luis Güereña),2004,left_only
ARB2XMJ1187FB384B9,,,,Jag Panzer,265,1,SOMWMYO12A6D4F663B,Symphony Of Terror,1984,left_only
AR8MEQP1187B99E0B8,,,,Banda Cheiro De Amor,183,1,SOEMYCP12A6D4F8CFB,Tudo A Ver,2008,left_only
ARR0C631187B9B6BA9,,,,Weather Report,307,1,SOZMWPB12A8C131F1B,Confians,1985,left_only
ARR8FAL1187B98C35B,,,,Kapasiteettiyksikkö,204,1,SOUTLLJ12AB0180DAD,Usko parempaan,2004,left_only
ARN5W1B1187B98BE10,,,,Warrior King,225,1,SOLCJXU12A8C134178,Breath Of Fresh Air,2002,left_only
AR75JN01187B98FCBF,,,,Envelopes,145,1,SOPZVJP12A6D4FA591,Free Jazz (Edit),0,left_only
AROFMRG1241B9CD61A,,,,M Waering,371,1,SOOJHFH12AB018782B,Amberude,0,left_only
ARAXU5Z1187B98FECD,,,,Gorillaz,160,1,SOLJQBW12A6702187B,November Has Come,2005,left_only
ARTMAYE1187FB5AEC5,,,,The Psycho Realm_ Sick Jacken,281,1,SOCUEUN12AB0189C96,Lifestyle,2004,left_only
AR0KIXX1187B98AFCB,,,,Homelife,356,1,SOYFCOM12AB0188572,Big Tree,2004,left_only
ARIKE5O1187B997E73,,,,Mississippi Mass Choir,221,1,SODYJJO12A58A7C861,It's Good To Know Jesus,2003,left_only
AR26HRX1187FB3620F,,,,Leon Redbone,219,1,SOYAWSK12A6D4FA963,Christmas Island,1987,left_only
ARPZ87F1187FB4D072,,,,The Adverts,212,1,SOSOMBY12A8C137D1D,Cast Of Thousands,1979,left_only
AR7ZKHQ1187B98DD73,,,,Glad,202,1,SOEKVHT12AB018D3D0,O For a Thousand Tongues,0,left_only
ARLYEHC1187FB5CECF,,,,The Loved Ones,170,1,SOLLDJW12A58A7AAAB,Chicken,0,left_only
AR0BLA51187FB4E6CD,,,,The In Crowd,266,1,SOPVANN12AB0186E36,Back A Yard,1979,left_only
ARGV0941187FB4B341,,,,Meat Katie,415,1,SOIAPPZ12AB01895D5,Next Life,2002,left_only
ARQ42UA1187B9B09F2,,,,TOMMI LÄNTINEN,228,1,SOZEXVU12A8AE47C8C,Mä En Haluu Enää Muistaa (I Don't Wanna Talk About It),0,left_only
ARQF3AW1187FB54BF1,,,,Sound Dimension,153,1,SOCFZBN12A8C13CD1F,Park View,1992,left_only
ARDBMOQ1187B99FB7C,, ,,Sunlounger,414,1,SOVTLBW12AB0180666,Crawling,0,left_only
AR2I4Q41187B992493,,,,Red Peters,62,1,SOYMDAG12AB018AFEC,Long And Hard,0,left_only
AR9GZ7U1187B9A715A,,,,Kingston Wall,204,1,SODFLRW12A8C13D854,Take You To Sweet Harmony,1994,left_only
ARKAL321187B9AD4BE,,,,The Gathering,363,1,SOUEILW12AF72A5701,Gaya's Dream,0,left_only
ARJYC3R1187B9995EF,,,,Cats On Fire,243,1,SOSPWMI12AB017E86C,Garden Lights,2009,left_only
ARK3PWH1187B9A441D,,,,Showbread,252,1,SORYBLZ12AF72A4286,Nothing Matters Anymore,2009,left_only
ARBMB4I1187B98B108,,,,OTT,514,1,SOULEKL12AB018E4AB,Smoked Glass and Chrome,2003,left_only
ARCRCLW11F50C4ABB1,,,,Royal Philharmonic Orchestra London,304,1,SOPANZN12AB0187C3A,Meditation from the Opera Thais,0,left_only
ARXGTXR1213184FE6D,,,,Dolly Parton & Kenny Rogers,249,1,SOKZGOR12A8AE46C6C,Islands In The Stream,0,left_only
ARNWJEE1187B98DB44,,,,Frenchy,246,1,SOKBIAI12AB0180E97,Smith & Wesson,0,left_only
ARY6RGY1187FB4DF1F,,,,Nevada Tan,249,1,SOWNTBO12A8C13C701,Du schweigst,0,left_only
ARU32HU1187FB43D53,,,,The Sushi Club,293,1,SONPWFX12A6D4FB0C0,Sakura,2003,left_only
ARIBJIS11C8A414F70,,,,NO-TONE ft.Inusa,396,1,SOWOMMS12A8AE499EB,Life is Love,0,left_only
AR4M2AL1187B9B828B,,,,Espers,514,1,SOORPZS12B0B80BE57,Hearts & Daggers,2004,left_only
ARRKE1Q1187B9AB192,,,,The Hunches,132,1,SOMAZAQ12A6D4F2840,When I Became You,0,left_only
ARMANWJ1228B7C50F0,,,,Mariachi Sol De Mexico,184,1,SOIRQRF12A8C139580,Carino Nuevo,0,left_only
ARGUDN51187B9A2AA8,,,,Ordo Equilibrio,405,1,SOVJFTH12AB017FDF2,Walpurgisnacht In the Grotto. Dancing With Lilith,1997,left_only
